input_clean,output_clean
alex is on the way to london with for a meeting with about an exciting event next year!,great to hear hope alex is having a good journey?
"me wtf are you making me watch, fast forward it.. cait i can t, i have i m scared...","hi there, are you eeriencing an issue with your data? please let us know we want to help. resolution supervisordr"
thanks to michelle and tc from the conciergekey team at for the clutch transfer!,we are thrilled to hear michelle and tc took great care of you and will gladly recognize them for you! aateam
omg fix fucking airdrop for the love of god pls,"we are happy to look into issues you are eeriencing with airdrop. please message us your model device, the ios version installed and details of the issue you are eeriencing. we will do our best to help sort things out."
my daughter is trapped on a train in gillingham trying to get to salisbury for a connection to portsmouth. apparently there is a bus but no details of when it leaves or how long it takes. a details as staff know nothing,"the buses were outside and have now left, they waited for the train to arrive."
"typical response. well you guess you should tell the cw to fix their on demand channel then, cause i do not have that kind of pull. also bring back the old twc version of the guide and channel switching the new version sucks. it is so much harder to find things","i understand your frustration. you would need to address the on demand issues with that particular network. as far as the guide, we do not see any changes coming to the guide at this particular time."
"no x1, no internet, no phone, why?",hi! i can look into this service issue. can you please send me a message with your address and phone number?
how are you going to stop selling chicken tenders,"good news, victor! they ll be back in stores ! get your dipping hand ready."
no you constantly throttle. stop lying. the 6 years i was with you was worse than an ex.,i recognize your frustration and if you have any other questions and or concerns please let us know.
unable to send messages to nos on the call log not saved in the contact and crazy battery drain,we would received your message and will continue with you there.
"useless, deletes app","sorry to hear about the trouble, joseph. please try reinstalling the app on your device and requesting again."
feeekkkkkk!!!!,please stop sending us tweets of this nature
"why still i dont have my 1,100 cod points?","hello there, i apologize for the delay. you should receive this content later on today. please be patient."
thank you but i don t feel as though i should be the one to be reaching out with further information. i feel target should be reaching out to me. this was an absolute horrible eerience and i should not have been treated like that.,"as a valued target guest, we take your concerns seriously. your feedback allows us to see what areas we need to improve to provide a better shopping eerience. we appreciate you sharing a few moments of your time. thank you."
ok if you can t get the most basic function of a phone right w the keyboard issue... cmon now,"we recently released an ios update, 11.1.1, that contains a fix for autocorrect issues. let s be sure to back up your device prior to updating. how to back up"
kindly blacklist the number 254 721 563424 that is trying to con people by seeking their pin numbers.,...phone. please forward no. via sms to 333 free for our fraud team to investigate.
i got an email to confirm my advantage program. i went online amp tried doing it but the page does nothing even after i click check account . what should i do next?,"hmm, that is odd! no worries, we will get this figured out! message me and i will get to work tanyafalandysz"
"hi , i am trying to process a claim and having issues can you help out?","yes, we can help with this! message the details and tracking number to the link provided for help."
. the flight attendants on flight 2537 leaving pittsburgh yesterday took such great care of me after i became super sick midway through the flight.they were beyond amazing! thanks for having such an awesome staff onboard who knew exactly how to handle the situation.,we hope that you re feeling better. please message your confirmation number. we would love to send the crew a sweet tweet on your behalf.
what the fuck?? i forgot my itunes password and you email to say you will call me in 14 days to help me reset it?,"thank you for reaching out to us. in dm, please provide a few more details about this."
"how can i change the way these informations are shown? i would like to see them all at once, like s o paulo. sunrise to uv index at one page. thank you.","thanks for reaching out! send us a dm, and we can look into this more."
signed up for live tv. cannot find anywhere to actually watch live tv. baseball game starts in 20 min. help,"sorry, andrew! head to browse gt networks gt sports or az. you can also search for the team name"
"socorro, o som do meu celular parou de funcionar de verdade, isso mesmo? e agora???? aaaaaaa","since our twitter support is available in english, get help at or join"
can we get fox sports on basic cable instead of espn?,unfortunately we are unable to change the channels that are assigned to our different cable packages. .
creo que es mi p gina favorita aunque no compre nada,"qu es lo que m s te gusta de nuestra p gina, carlos?"
can t believe the state of this,"hi, sorry about that! if you could send us a message we will do our best to resolve this for you"
"since i got my x whenever i go to switch on dolby atmos in audio out, system makes me unplug my usb base for my astros headset, never had to do that, before what is up with that?","thanks for reaching out! can you message us your gamertag, and more details on what you mean when you say the system makes you unplug the headset base?"
are trains striking tomorrow ? or will my travel between barnsley and wakefield kirkgate be fine ?,"hi, trains on this route will be running as normal tomorrow! you can check your journey via"
yo since these updates my phone works aswell as a house brick!! sort this shit out!!,we want to work with you to get your iphone issues resolved. message us using the link below and let us know details.
ok well thanks for tweeting me back. luckily the service on the trains makes up for it,"no problem, adrian, glad to hear that enjoy the rest of your journey"
"it s been a week and i haven t heard anything i haven t gotten a refund, i haven t even gotten a credit. i assume i ll have to call my credit card company and cancel a part of my payment to you, since you re not going to do anything to make it right?",can you send us your confirmation code via dm? we can double check on the credits for you.
what r the requirements for porting of sim?,"hello , kindly visit an airtel shop with a valid means of identification. please click to view our shop locations. thank you."
really how do i know my private info was access by the dark world operatives. ?,your account security is our top priority. message me for a closer look barbpelotte
why is the delivery date still in pending,please connect with us here and we will take a closer look.
hoping you could make us feel special on our next leg of our trip flight 2045 charlotte to westpalm. tim jen and ryan shrimpkin myers.,our team will take fabulous care of you and your family. just let our gate agent know youd like to preboard.
this is obscene everywhere i look people complain about the 50 points in domination. this makes other games modes like hardpoint and kill confirmed more worth while. example it took me 5 kills appose to 10 in domiation to get a .,"hey there, we would appreciate you to leave your feedback suggestions for this mode here"
small things like this make a big difference. well done and keep it up!,thanks for the love we will make sure to keep up the good work!
can i mix my cabin classes for flight to nyc? wt out and wt back?? thanks.,"hi shaun, you can book mixed cabins for your return trip. you should see prices for at least 3 different cabins. danielle."
"when you will stop running a parallel judiciary system. if there is a dispute with respect to amount payable,aproach the court","apologies for trouble,please elaborate on your concern so that we can asssit you better. regards, amruta"
"early morning flight on my favorite airline, . monday came both quickly and slowly... thanks lasvegas vegasstrong",we know the feeling. we are glad you can start your week with us!
gawtdamn i fucking hate you all sometimes,this is not good at all! what has caused you to feel this way towards our company?
yo did you all raise the roof prices for minimum orders add a delivery fee? so there is a delivery fee and a tip now?,"minimum order amounts, delivery fees, and other options vary by location. you will be shown all available options at checkout."
booked a flight for child with and erroneously inputted clu as suffix. is it okay?,"hi, thanks for contacting us. i will be happy to check into this for you. please follow dm your delta confirmation number."
are you having issues supporting zipcode 19607 and surrounding areas? is too busy to respond.,"are you encountering network issues? please send us a direct message, so that we can further assist you."
well it s a bit late now i m afraid was liking the samsung ones but no one in your store spoke to me when i went in,which store was this? we would like to pass on your feedback about this. you can check out our whole range here let us know if there is anything you like the look of.
"i assume amazon. it was a prime lightning deal. i have contacted customer service already. i am sure it will eventually get resolved. however, 2 late shipments in a week does not bode well for the holiday season.","i am terribly sorry for this eerience, brett. i can certainly understand the frustration and concern for the holidays as well. you can find your carrier information here please let us know who the carrier for this. we are here to help!"
alright i m paying for my internet and you keep throttling it. you ve sent a tech to my 4 times and still can t get it right. this is beyond absurd especially for what i m paying,"hello, i do apologize for the internet issues. could you please message us? so we can assist you."
please add both dimensions as an option for save to in lightroom cc. i want to be able to control the size of theshort side,"hi there, please suggest it as a feature request . tanuj"
"couriers make deliveries feel like a game of chance lost my nieces christmas present today, support basically told us","oh no, eddie! i do apologize about this happening. we want to help you with this. did you speak with the courier support, or were you able to speak with us?"
ps4share,thank you very much and what is your psn id?
can you tell me when the xmas delivery slots for 17 open? so far the slots opening do not seem to be on schedule as not able to book for anything past 20th yet.,"hi sue, thank you for getting in touch, the slots for the 23.12.17 were open from 0000 today 03.12.17. kindest regards hannah."
evening the 2148 padwos is running late to slo. pls can you confirm that the 2207 slotwy will be held to allow passengers to change platforms trains?,hi suzi. i can see this arrived at 2204. you should be able to make this. natalie
"between aaaawwwfffuuulllll internet and the way the cats are playing, i really might go insane tonight.... the game is standard definition but the commercials are in hd. cool.",i apologize for the inconvenience. i will be glad to assist you. can you message me your name and acct or phone ?
"not sure if this 6900 tree from is for real, but the comments are hysterical. does santa come with this tree? if so, sign me up. christmas holidays merrychristmas holidaydecor","we see you have found our top of the line christmas tree. while santa does not come with it, you can see the details and order it at . merry christmas!"
hey uber! do you guys have any more 50 off coupons for san diego area? i am a student and uber prices have been spiked and i will continue to use uber over lyft with a coupon. let me know thanks so much!!,not at the moment! but you can always share your referral code with friends so you can rack up free rides when they sign up.
"how do i find an email address to send a complaint to, i have searched your website and cannot find one","hi, you can contact our customer relations team online using this form"
"now that firefox can do u2f, any chance on letting me use my security key in browsers other than chrome?","hi there, we can pass this request onto our dev team for their consideration to improve access to dropbox. thanks for the suggestion!"
is the absolute worst bank. will be closing my account as soon as possible after the way they nickel dimed me over the years you should too,"hi, what happened? we d like to keep you as a customer. we re here to help let me know what i can do. vt"
finna get a foot in they ass,"hey there, this type of feedback is very concerning to us. shoot me a message letting us know what make you eel this way. we are here to help"
"jai vu avec eux, merci","merci vous, bonne soir e !"
excuse me i have a question can i do some of the question and log out . after a time i back to complete the others ??,hello! it will depends on your instructor assignment setting. we can verify it by providing to us your instructors email via .
"ordered a gift card from and the driver posts it through the door, package clearly had been opened and gift card stolen?!",oh no! this is definitely not the eerience we want our customers to have. can you reach out to us here so we can look into this further with you?
"still cupasoup as the meal on the 106 from dubai. if it is a sleeper service, upgrade the food in the lounge?","hi stewart, we are sorry you are disappointed. we will pass on your comments to our customer eerience team."
mega confused cause boohoo sent my refund through and i can see the activity but the actual money isn t in my paypal or my bank???,"hi! i know it is important to keep track of your refund, and i am here to help you. could you message us with your paypal email and a screenshot of the refund? just to check, do you originally pay using a card or bank? thank you."
cool sms telling me my bag has been loaded into cargo hold. nice add . always innovating. appreciated.,hello paul! thank you for the kudos.
how do you register for yeezy 350 boost?,"hi, you ll simply need to download our app message us for more info on the raffle. kind regards c."
"getting frequent calls from odd numbers, today from tunisia?! i do not pick up and block each number but just get another. what to do?","hi nicola, have you blocked the numbers from the phones settings? are you able to register for tps? do this here"
"ah, obrigada",nada! nossa equipe vai resolver para voc !
i fly the ft lauderdalenashville 310p flight 2x monthly amp 85 of the time wifi is out. needs to be fixed.,"hey, kim. we are currently working with our internet provider to upgrade our service. we are sorry for any frustration."
are there any airlines that are as good as was back in the day? in the market for a new airline. another cancelled .,sorry to learn of your disappointment. send us a message if we can assist!
hey i purchased marble blast ultra back in 2006 and for the first time i need to redownload the game and its not there?,you see there? can you also message your gamertag? the steps here may help. 2
"disgusted by the pathetic, rude, inefficient, unethical customer care. . most customer centric company apparently. laughable.",we are sorry for the inconvenience. please share your details with us here and we will help.
"i don t mind at all bc i love thomas rhett, but wut? why is country on my twenty one pilots radio?",hmm strange indeed...mind dming me your email address so that i can take a look at your station? thank you!
unable to get information on how to claim warranty for one of the products. app is also not helpful,"i understand your concern, please contact us via and our support team would assist you."
i am very unhappy with ubers customer support. i did mention that i am unable to find my trip receipt when i login to uber via the internet. you could have helped me connect with my driver or at least locate the trip receipt.,"we are unable to locate any recent trips on the account you provided, tejal. in order to best assist, please use the forms provided to get in touch with our specialized team."
ridiculous parking at bramley this morning. parked in between 2 spaces on the path. when the driver was confronted his excuse was well theres no signs to say i cant!!!!,thanks for flagging this. we would suggest speaking with the store manager if you see this again so they can pass this on to our parking team.
"thanks for canceling now i am flying from ny to va to detroit to portland, .","hi. my apologies for your flight cancellation. if you need assistance, please follow and direct message your confirmation number."
is there a reason will not let me confirm my address change or bid or anything?,"i am not sure. are you getting any errors? check your messages if we need something there, or my ebaygtaccountgtersonal info."
"so, charged me 650 twice for mint upgrade wants to help hello jetblue?!? rudest lead at jfk, mugabe 00269.","hey, erin. sorry you are frustrated. message your confirmation code and we can take a look"
but the address at order time is perfect! it is really the app on the deliverers side that does not display the address i typed in my order.,"hi, alan. if the address is correct and the delivery partners are still not finding the location, we suggest using the special delivery instructions field when ordering to ensure accuracy and efficacy."
contacted cust service 3 times to report pages amp pages of counterfeit kylie cosmetics. products still on site. losing confidence in amazon,i am sorry for any trouble! have you received an order with a counterfeit product? we would like to help in any way we can.
so is or gonna put out a fix for this weird problem with the letter i ?,you have come to the right place for support. let us work on this in .
my lyft driver is so fucking stupid,"to be immediately connected with our critical response line, click the call me button and enter your number at"
whats with the service every 2 weeks i have to call yall to reset my devices?no cable.. internet again?,i will be happy to help you with your service. would you mind sending us a message with your account number?
cheers guys it s 866 271 3264,thanks for getting back to us with the number calling. to be removed off this call list you will need to call the number back amp wait until the end of the automated message to leave a voicemail with your name amp phone number. hope this helps!
literally lost my money and cannot figure out how to fix it. enjoy internet.,hey daniel! maybe you should switch to sprint. follow the link to view the amazing offer we found for you.
"man s got cash wells fargo bank in philadelphia,",thanks for visiting us. have a nice day!
"it was on my app! just search what i searched and if you scroll, you ll see it eventually!","apologies, thanks for highlighting this."
so the driver passed my house to do another drop off? then he took me a round about way to get home? y all need to get your life.,"hi, myla! here to help. send us a note here and our team will look into this."
what is the email address for your fraud team? have received a dodgy email pertaining to be from you. thanks,thanks for reaching out. take a look here for more info on reporting phishing emails
thanks for the blackfridaydeals amp i can justify a day trip to birmingham from kent to eat for my birthday!! last time we had it was when you were shiny and new in london the count down begins!!,"great to hear anita, have a great time!"
"so with that said, i will be saying stepping into very soon!","hi, we want to keep you as a customer. please let us know if you would like to be contacted. am"
"london to edinburgh train and as soon as we pull out of euston we re told no hot drinks, run out of water. ??? actually ruined my morning. i need coffee!","oh no, that is not good, sorry to hear that pete."
queso is not as bad as everyone was saying. i actually enjoyed it.,i like it too!
how long can it take to get bonus miles? i am beginning to think it is an intentional run around. notgivingup,do you have please do not release any personal identifiable information?in
ba team why are aa executive platinum not allowed spa services when first class lounge access is allowed ?,can you give us more information so we can provide a more appropriate response please? amy
i have brought his album but can t see anything,when did you place the pre order?
what rot this is! counter apparently does not open until 5pm! what a waste of time and energy. off to asda we go!,gosh mariann! not the best look. which store was this the pizza counter should be open. raj
which button?,it will be the button with the xbox logo that is shining white
dear you guys should sell corn in a cupelotes,noted. tara
been waiting 3 hours for a reply about a payment problem.,sorry to hear about that! send us a message with your email address so we can follow up.
"time to get your grubbin on, us trainers! from now until december 4, pok mon toys will be available at a mcdonald s near you",catching em all is hungry work! do not forget to grab some lunch while you are hunting!
i have the jb card but it does not show up as an earned badge. anyway to add link that on my end?,"hello jim, please give us a call at 1800jetblue 5382583. our trueblue team will be ready to help!"
"sent you a complaint a week ago about a flight, how long does it usually take to get a response? or will it be ignored?",in date priority order. they will be in contact shortly. thanks for your patience.jo
is the installation of home fibre still free?,"hi, yes it is free."
"i wish your platinum credit for tsa global entry also covered nexus. nexus is only 50 half price yet includes these services at no cost, what a deal!",hi. we appreciate your feedback and will capture it. have a nice day. clarissa
"they named different fruits, checked out how to store food in the really freezing freezer and how to scan their shopping! a fantastic trip thank you!","excellent! thanks so much for sharing the lovely photos, they really look like they had fun there is loads of activities and resources on our website if you did not already know everylittlehelps"
worst customer ser. taking them 7 days to return something 2 my account when i returned 2 items.every time i call they give me diff,good afternoon and sorry you feel that way. is this concerning a prepaid card and items returned?
why give you the overdrawn fee before the said five business days... you all always do this before the checks come in,"hello, we are following up. pls send the requested information if you still need help. thank you. cr"
i have had the worst eerience! i can t email you or chat when i called customer service today zero help!! no package for my sons birthday and a really upset mom,thanks for reaching out to us. we apologize for the frustration and disappointment. this is certainly not the type of order eerience we want you to have. please provide us with additional information about your eerience and your order number. we d be happy to look into it.
american fork in utah,thanks. we will address with the restaurant.
best customer service from cambridge lion yard store that i have received in a long time.,that is great to hear vicky. thank you for taking the time to share this with us
it was after 10 other shops seem to manage it just fine,"hi sean, this is due to different licences that stores hold. we cannot sell them after 10pm. sorry for any disappointment caused peter"
no service in my own home! its time for change. your hot spot box is no good as like your service. good day!,no way! we want your coverage to be great! shoot us a message with more info to check this out asap. valeriep
just got an email from saying my iphone x has shipped. not sure what to think or when to eect it now but damn that is lovvveeeeeeeeee,hi there! this is great news! you can put your order number in link to stay up to date with your order
y is the sound before the picture on the hd league pass channel ?,"i will be happy to look into your audio concerns and see what i can do to help. please send a message with your full name, address, and account number so i can assist further with this issue. thanks!"
donde puedo consultar la ventana de entrega?,thank you for reaching out to us. what country are you in? this way i can give you the best options.
hopefully! number in message,we are following you if you want to dm.
thank you. i finally got it rescheduled.,"great! if you need anything from us, please reach out to us here. i will do my best for you from here. thank you for being with us!"
how the fuck did this make it through development. this is a shotgun .,"good afternoon, if youd like you can suggest that here"
i am desperate amp need your help. my mom died amp i need a travel coupon or points to get 2 funeral. not sure why you cannot help me.,"our thoughts and prayers are with you during this difficult time. however, please know we do not offer bereavement fares discounts."
", that two bills i pay you for wifi amp cable is awesome when it only works in one room. waiting for your excuse to justify. go.",i would be happy to help with your wifi connection. please message your address phone so we can get started.
your id verification is down and i cannot confirm any of my reservations. help?,"we are sorry to hear this, mark. we have received your message and will be replying there directly."
"good afternoon, i wanted to know which is the intermediary bank to receive a transfer from banesco panama? thank you",a wire transfer does not include an intermediary bank. please see our site for more info rm
i really hate dead ass,what caused these feelings? i want to provide support and address any concerns no account numbers.
"purchased product in deal, order not processed due to damage in transit. now product price increased to 2x what to do?",i am sorry for this eerience. we will consider this as feedback and ensure to pass it on internally.
of course my flight gets delayed 2 hours of course!!!! i ve got exams i need to take tomorrow if this shit gets canceled y all better email my professors,i regret learning you have been delayed. we truly appreciate your patience. let us know if there is anything we can help with.
"finally upgraded 2 da iphone 8 plus 256 gazillion gb, updated software twice amp i still hear crackling, static sound. pls elain",thanks for reaching out to us for support. we would love to help you. please message us so that we can troubleshoot together.
email and app notifications for sold items are coming in much later than time of sale 6 hrs. can you assist,hi there! we would be happy to help! please check you have your communication preferences set up to receive notifications at real time as this may be causing this. let us know if this was already in place so we can review further. thank you
it seems if we have issues with laptop purchased in sept and want to work urgently there is no tech support available on sundays. guess we will have to go to local vendor since it is very urgent for us to use the laptop.,"hi anand, we are here to assist you. please share some details of the issues you are facing with the system along with the details requested below via direct message 1. service tag 2. owners name 3. email id phone number."
"struggling to get the family plan to work!! please help? when i send invite, the invite is accepted and address input, then get the oops something went wrong error.","hi there! can you message us your accounts email address or username, as well as the ones you are trying to invite? we will take a look"
i received an auto matted voice mail from your company telling me to call a specific number to change my ip address and router for free is this a scam? please reply?,"hello, this is not kind of call we would make but i can further look into this for you. can you please message me the full name and address on the account?"
"hi there, the tracking page of my package keeps stating that the my business was closed at the time of delivery, but this is not true. what can i do?",i am sorry that this is happening. if you can provide me with either your infonotice or tracking number i will be more than happy to look into this for you and see what we can do to ensure you receive your package.
just filed a ticket.,our team responds to them in the order they are received and will be in touch as soon as possible.
"terrrible move eerience , paying for 200m receiving 50, double billed for both addresses. rude customer support reps 2 hours wasted already.",this is not the customer eerience that i like to hear about. can you send me a message with your fullservice address?
"hi, just bought food for five people at kfc interchange park 02612 and when we got home, one burger and dips were missing.","hi paul, sorry to hear this, this is not what we eect please message us so we can try and put this right"
whens this glitch going to be fixed? im tired of restarting my phone to make it go away.,using a reliable device is important. we will do everything we can to help. when did this issue start? any recent changes?
"in different lamps.. what do i do as i can t find the receipt anywhere, i purchased them from the sealand store.",hi jenny. were they purchased with card or cash? pete
why am i always being declined on ?,we would like to take a closer look at this for you and share your eerience for review. can you please message us your name and zip?
i thought i was going to get help?,we will be glad to take a deeper look into this. can you please message us the phone number associated with your protection plan?
anyone still available,"hi david, if you pm us we can help you with any queries you have laura"
hey i recently added showtime to my subsciption but cannot access it,if you are using a device that supports sho follow up amp we will take a look.
10 15am from london to cardiff. not the first time there has been a massive delay,apologies fergus. this train was cancelled at swindon because of a fault on board. compensation may be due depending on the delay. phil.
on flight 144 from columbus ohio to atlanta with a 45 delay wondering if they will offer us free wifi????,"thanks for reaching out, garth. while that is not something we typically offer, rest assured that we will do our best to get you on your way to atlanta as soon as we can. thanks for your patience!"
the video atampt posted on the making of gorgeous just shows how pure and raw taylor swifts talent in music is.,"we are glad you enjoyed it, justin! taylorswiftnow"
"gracias por contestar y por la info, pero me envi is a un faq. pregunto no es posible hablar con un ser humano ?","ricardo, puedes contactar con nuestros colegas de servicio al cliente para gestionar la devoluci n a trav s del siguiente enlace"
"disappointed in you guys. grounds crew jammed the tow bar in, delayed for 1 hour. hire staff that knows what they re doing.",we would like a bit more details. please follow and message your record locator or flight number.
either i have had the worst luck in the world or amazon customer service and support has significantly deteriorated,"this is not the eerience we strive for, truly sorry to hear of this! without personal acct details can you tell us more?"
how will the surge pricing effect the ride pass during art basel week weekend? will i t still be the flare rate that i purchased? thank you ubermiami,hi there! please visit for more info. about what ride pass covers.
"no network from two days , used portability joined idea from reliance gsm now no network no is what to do ,can not send any message or dial ani customer care no. because no network . do something","we apologize for the trouble. request you to message us your idea number so we can get this checked. regards, neha"
hey there s an error when i m trying to stream on yt or twitch what s wrong with it,hi there! please let us know the exact error code or error message that you receive.
have there been any service interruptions out of oakland due to fires? i will be going from oak gt sea tomorrow morning,"no, the main issue with the fires is santa rosa and a bit from santa ana. here is our travel advisory sean"
i am on a hp laptop using firefox. every time i try to add pictures to my project i get amazon drive issues message,uh oh! what exactly does the error message say?
i ve had it with your iphones . first y all keep updating after each suppose update my phone messes up more ! i didn t paid 700 out my ass !,we are happy to help. tell us what issue you are having with your iphone. we can work on it together in .
you feel me now? cause its about to get real,looks like our team has connected with you via our in appsupport. please follow up there if you have any questions.
please elain why finder is glitching in macos high sierra,we are happy to help. reach us via message to gather more information.
where is the at the shrewsbury ?????,"hi chris, can you please message more info so i can help you? madeeha"
hi is the 15.28 train to glasgow central still running from london euston ?,due to emergency service dealing with an incident at milton keynes. all departures are suspended from london euston
asurion cell phone insurance is a scam.,can you tell us why you feel this way brandon? we are here to help you anyway we can.
0703349715,we have been in touch on call and assisted.
"well you replaced my airpods under warranty sincerely, thanks but i am still having daily issues, meaning that it must be ios 11. this has been the worst update in your history.",we would be happy to assist with any issues you are facing. may we ask what issues you are seeing?
kudos to for calling and sending a tech 1 hr sooner than my original appt. this is customer service.,i am glad you got an appointment that is earlier! please keep us posted and let me know if you need any assistance.
got this text from the same number you send reservation details from. is this legit or a new scam?,"hi sarah, you know that 10ft bargepole people say they would not touch things with, this is definitely one of those cases. could you message us some details about it as it is not from us. mal"
what is the chances of both my earphones broke at the same time. thanks and to make my day sad pissedoff,let s get you pointed in the right direction. our team will take it from here.
someone hacked my account and changed it to premium family so i have been overused they never managed to link an extra account so never used family features could i please be refunded the difference? i was already premium,"hey megan, we re sorry to hear that. we would suggest checking out for what to do next"
"i had to order a replacement usb cable for my kindle. agent said they added a promotional balance to my account for it, but it was never applied. no balance is in my account. i have spoken to 3 different agents about it amp no one can help me fix the issue. what do i do?",i am sorry for the frustration. the promotional certificate will only be visible in the checkout if the item is shipped and sold by amazon. is your cable eligible? this is a cable which qualifies
"my wife ordered a dancing duck 4my son, as a devali gift, but you idiots delivered a cheap monkey toy amp that 2in 4 days, when she is prime subscriber amp when the seller in from delhi, all the time blaming sellers amp still no penalty against them. 4creditcard","please do not provide your order details, we consider it personal info. our twitter page is visible to public. nr"
"your customer service has been crap, so i am using an appropriate response on wednesday morning. wednesdaywisdom whativelearned imjustaninvoicetothisbigcompany myproblemsdontmattertotmobile",hey i just sent you a message in dm! kiawashington
yo 1 typo.... 1 damn letter extra in my last name and i have been with an clerk for over an hour and a half now....seriously?,please continue to work with our airport team to get this corrected. our apologies for any inconvenience.
mcdonalds breakfast,"sounds like you woke up just in time for a dream come true, erika!"
hi i have some questions and cant get to customer service,"we are here to help! please let us know the email address associated with your account, as well as some info about the issue you are having. our team will follow up."
lift to platforms at wyb have not been mopped cleaned in months years. now very unpleasant. bad advert for swr. please fix.,"i am sorry to hear this, i will contact the station team regarding this."
how long is the black ops 2 servers down for?,please follow this link for more info apologies for the inconvenience.
i have played 3 games in the past 4 hours!! please fix the servers..,hey there! servers should be good to go at the moment. were you still having issues? please let me know!
delivered... but got nothing but my cards.....,have you been in touch with us here ?
"ok, so i need help. tried to upgrade a line at target mobile fri, but was told to make an appointment. returned 10 hrs later appt time and waited 2 hours due to system issues, told to return sat. did so at 615 and was told closed early since staff was no show. ???",thanks for bringing this to our attention. we would like to look into this more and see how we can help. please message us with more details on your visit and the store location you were shopping at. thanks.
can i use my virgin travel bank money on alaska?,"sorry, unfortunately, it cannot be used towards alaska flights. angel"
"my fios bill just increased 44 why? i got no notice, just a higher bill.",we understand the frustration. do you have access to your last bill? we need to check it to see if some discounts eired.
wirelessly and no,do you have the ability to connect the xbox to the router via ethernet cable?
"shocking customer service!rescheduling a flight is 1 thing, but failing to compensate impactawful!hols ruined. if we wanted to fly via altlanta, from one airport and back to another with 2 kids amp an unauthorised school absence we d have paid of the price!!",sorry to hear you have been affected by a change claire. we try to avoid changes like this where we can but occasionally they are unavoidable. if the changes are unacceptable to you you can cancel and receive a full refund?
"in the dumpster fire that has been 2017, can i kindly request to the universe that my flight is only cancelled on the way back from my trip?",we are almost done scheduling all of our crews and eect to avoid cancellations. we will see you on board soon!
their next flight is the last one that goes out tonight.,"if the flight is missed, please have them work with our gate team. they will check all available options for them."
err... the dms are not open...,"hello, we are now following you. thank you"
"whatever you are doing to manage your member accounts and family plan, it is bullocks","hi there, we are sorry you feel that way. do not worry, we will take a look backstage! can you message us both of your accounts email addresses?"
how do i report or disable certain ads on mobile? i never never ever want to hear mike huckabees smug bs between songs again,"2 if you have not had premium before, try out the 30day trial at for adfree listening"
"fastest train woking to surbiton, please, taking account of delays?","hi, the fastest service at the moment would be the 1252 woking to surbiton arrives at surbiton at 1307"
"hey just wanna tell how shady drivers are, charging intoxicated people a cleaning fee for throwing up when it never happened phoeni. maybe take , hopefully that does not happen there.",here to help! connect with us through and we will be in touch.
ticket machine at bournville out of service.,"cheers for letting me know, i will get this forwarded on for you"
what is happening on the chertsey to waterloo service this weekend?,"hi, saturday will have 2 direct trains an hour to waterloo and sunday will have 1 direct train an hour."
up working no. no has done anything! now i vant sign into my tmobile account on my phone!! im am sooooo over this!,we are here to help take care of you and get this resolved. i sent you a message a few minutes ago please meet me back there so we can get this taken care of. mattlegleiter
an has just opened up down the road from me. christmas has come early for this guy!,"see you in store soon, darrell!"
hey you deliever yet or what,we do deliver. check if we deliver to your area
"hi i have been charged 17 a 5 cancellation fee for a ride i never took, that ride was canceled cause the driver took long and was far away .. who i speak to about this situation ?","we apologize for the trouble! send us a note here, and our team will be in touch."
really is a depressing sight going in late night at and seeing the huge sacks of food mainly breads being collected destined for the skip. wasted resource. wasted money. wasted energy. something has to change...,"hi james, thanks for taking the time to get in touch. food waste is something that we are working hard to reduce. as i do not think youd appreciate a wall of text i will leave this link for you cheers, paul."
"torquay just terrible, worst iv ever dealt with papajohnstorquay",we are sorry about that! message us with details.
hmm this looks like they forgot a lot in my 5 later burrito . sub rice to beef.. not sub entire burrito,thanks for letting us know. we are on it.
old townchicago. but have noticed it at others as well..,i am sorry to hear that. you can share this at tay
panchod... what is this shit,here s what you can do to work around the issue until it s fixed in a future software update
why don t you let customers set location that your delivery team could use to navigate rather than address?,thank you for the feedback. i will certainly forward this internally.
really upset with the customer service terrible bank highly discourage people from using it brianmoynihan,i apologize for your eerience. please let me know how i can help you. ig
"erm, may i think, i can message you the booking reference?",of the team will be in touch as soon as possible to resolve this for you.
juat did the link about said to close page someone be with me shortly,great! toss me a message and i will get you back to full sailing on magenta seas nevinbruce
"oh, i misread, it happens when my phone is near my ipad","we would like to assist you further. to do so, please message us here"
"its not shortly, sent it half an hour ago!",we appreciate your patience. your request is in there and a member of our team will be in touch.
through virgin. i can provide my confirmation code.,best to call our customer service team and they can look into this for you.
got the best customer service,thanks for the love!
i can t play any content using espn app on iphone or ipad using hulu credentials. playing same content from hulu app is allowed. it used to work. did something change recently?,"hello, david! we are sorry to hear about the issue streaming on your ios, and we would like to help. did you get a specific error message on your screens when attempting playback? when you have a moment, let us try working through the following better?"
shout out to for sending me an empty package. apparently i ordered air.,oh no! i am so sorry that your package arrived empty! please contact us via phone or chat here so we may look into this.
charter cable outage in the 10th inning of the best world series game i ve almost ever seen. thanks,"i apologize for the timing of the updates. has your picture been restored? if not, i will be able to assist you further."
"me hi, mind tossing this, it s trash? fai mind. i m busy and my hands are full. she had a bottle of water in one hand",we count on all our crew to be kind and helpful and apologize if that was not your eerience.
can t believe i m about to travel 20 mins to just to get some thai soup,"worth it though, right?!"
